app_id	app_title	rating	price	no_of_ratings	size	in_app_products	installs	ratings_distribution_5	ratings_distribution_4	ratings_distribution_3	ratings_distribution_2	ratings_distribution_1	is_editors_choice	genre	age_rating	app_url
com.concapps.aadvanloon	Aad van Loon Sport	nan	0	7	36M	nan	500+	0	0	0	0	0	0	Health & Fitness	Everyone	https://play.google.com/store/apps/details?id=com.concapps.aadvanloon
com.tabkeey.anushkawallpaper	Anushka Shetty HD Wallpapers	4.4	0	62	5.8M	nan	10,000+	48	5	2	1	6	0	Personalization	Everyone	https://play.google.com/store/apps/details?id=com.tabkeey.anushkawallpaper
net.serendpt.daaab	daAaB	3.7	0	68	25M	nan	1,000+	37	5	6	7	13	0	Travel & Local	Everyone	https://play.google.com/store/apps/details?id=net.serendpt.daaab
com.MTA.MyTalkMobile	MyTalkMobile	4.1	0	8	37M	$99.00 - $200.00 per item	1,000+	6	0	0	1	1	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.MTA.MyTalkMobile
br.com.geraestec.telepatix	TelepatiX AAC	nan	0	6	13M	nan	500+	0	0	0	0	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=br.com.geraestec.telepatix
com.candlify.vrplayer	AAA VR Cinema Cardboard 3D SBS	4.0	0	9,813	31M	nan	1,000,000+	5,280	1,962	960	454	1,162	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=com.candlify.vrplayer
selfcoder.mstudio.mp3editor	Mstudio: Play,Cut,Merge,Mix,Record,Extract,Convert	4.4	0	6,002	18M	nan	500,000+	4,176	1,010	401	131	330	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=selfcoder.mstudio.mp3editor
com.supermanindian.mightysuperherogames	Indian Superhero: Mighty Ranger	4.2	0	91	27M	nan	5,000+	64	9	4	3	11	0	Action	Mature 17+	https://play.google.com/store/apps/details?id=com.supermanindian.mightysuperherogames
com.americanapps.binoculars	Reading Glasses - Magnifier - Visual Aid Zoom	4.6	0	15,077	3.0M	nan	500,000+	11,794	1,952	566	199	595	0	Photography	Everyone	https://play.google.com/store/apps/details?id=com.americanapps.binoculars
com.victoriassecret.vsaa	Victoria’s Secret	4.4	0	28,794	11M	nan	5,000,000+	20,799	3,838	1,433	805	1,919	0	Shopping	Everyone	https://play.google.com/store/apps/details?id=com.victoriassecret.vsaa
com.tapchat	Tap Chat	5.0	0	3	11M	nan	100+	3	0	0	0	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=com.tapchat
com.dsource.idc.jellowintl	Jellow Communicator AAC	4.8	0	31	13M	nan	1,000+	27	3	1	0	0	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.dsource.idc.jellowintl
com.touchactivated.tastreamplayer	Stream Player	4.2	0	10	767k	nan	1,000+	4	4	2	0	0	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.touchactivated.tastreamplayer
com.next.textonphoto	Text On Photo - Text Editor	4.3	0	246	17M	nan	50,000+	169	30	25	7	16	0	Photography	Everyone	https://play.google.com/store/apps/details?id=com.next.textonphoto
uz.gs.uzairways	UZBEKISTAN AIRWAYS	3.5	0	180	7.6M	nan	10,000+	101	8	6	9	58	0	Travel & Local	Everyone	https://play.google.com/store/apps/details?id=uz.gs.uzairways
com.PakApps.Aab_e_hayat	Aab e Hayat Urdu Novel by Umera Ahmed	4.4	0	621	4.6M	nan	50,000+	490	41	19	15	58	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.PakApps.Aab_e_hayat
com.sydspeak.talktome100Lite	Talk To Me 100® Lite - Autism	3.2	0	35	5.1M	nan	10,000+	12	5	5	4	9	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.sydspeak.talktome100Lite
com.fortuneapps.dialoger	Dialoger - Fast and easy AAC	nan	0	3	17M	$9.99 per item	100+	0	0	0	0	0	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.fortuneapps.dialoger
kr.thestar.asia.aaa2017	AAA - 2017 Asia Artist Awards VOTE	4.2	0	4,986	16M	$0.99 - $3.99 per item	100,000+	3,482	436	211	107	752	0	Entertainment	Everyone	https://play.google.com/store/apps/details?id=kr.thestar.asia.aaa2017
com.mytalker.mytalker	MyTalker AAC Phone Edition talking AAC speech app	4.2	0	9	80M	nan	100+	7	0	0	1	1	0	Communication	Everyone	https://play.google.com/store/apps/details?id=com.mytalker.mytalker
com.KillerBeanStudios.EnemyStrike	Enemy Strike	4.1	0	222,302	39M	$0.99 - $39.99 per item	10,000,000+	129,478	39,373	23,077	11,013	19,379	0	Action	Mature 17+	https://play.google.com/store/apps/details?id=com.KillerBeanStudios.EnemyStrike
com.canva.editor	Canva: Graphic design & poster, invitation maker	4.7	0	443,504	11M	$1.49 - $59.99 per item	10,000,000+	365,733	60,642	12,781	2,271	5,355	1	Art & Design	Everyone	https://play.google.com/store/apps/details?id=com.canva.editor
aaa.juegosde	AAA	2.6	0	17	7.9M	nan	1,000+	5	2	0	1	9	0	Casual	Everyone	https://play.google.com/store/apps/details?id=aaa.juegosde
change.background.music.video	Change Video Background Music	3.9	0	1,819	9.0M	nan	100,000+	1,047	212	166	68	333	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=change.background.music.video
com.videocutter.mp3converter	Video to MP3 Converter, RINGTONE Maker, MP3 Cutter	4.0	0	11,249	18M	nan	1,000,000+	6,819	1,331	960	357	1,841	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=com.videocutter.mp3converter
com.rockvole.kbmlviewer	AAC Keyboard with friends	nan	0	nan	6.2M	$4.99 - $5.49 per item	50+	0	0	0	0	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=com.rockvole.kbmlviewer
com.rosh.gameworld.aagame	Crazy AA Game	nan	0	3	2.1M	nan	100+	0	0	0	0	0	0	Casual	Everyone	https://play.google.com/store/apps/details?id=com.rosh.gameworld.aagame
com.winit.starnews.hin	ABP LIVE News-Latest,Breaking TV News Videos India	4.2	0	125,772	13M	nan	10,000,000+	77,078	22,223	11,409	4,476	10,718	0	News & Magazines	Everyone	https://play.google.com/store/apps/details?id=com.winit.starnews.hin
com.AAATAXI	AAA TAXI - order taxi	3.9	0	372	16M	nan	50,000+	207	57	24	19	65	0	Maps & Navigation	Everyone	https://play.google.com/store/apps/details?id=com.AAATAXI
com.herman.ringpod	MP3 Cutter and Ringtone Maker	4.6	0	3,855	3.7M	nan	500,000+	3,027	548	146	28	123	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.herman.ringpod
br.com.livox	Livox	4.1	0	153	14M	nan	10,000+	108	6	6	6	27	0	Education	Everyone	https://play.google.com/store/apps/details?id=br.com.livox
com.resdevteam.boardtiklite	2Talk - AAC lite	nan	0	3	34M	nan	500+	0	0	0	0	0	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.resdevteam.boardtiklite
com.lunavalley.aaa	A AA AAA Slots - Triple Pay	3.4	0	9	25M	nan	1,000+	4	0	3	0	2	0	Casino	Teen	https://play.google.com/store/apps/details?id=com.lunavalley.aaa
com.hgamesartworks.demonhunter3	Monster Killing City Shooting III Trigger Strike	4.3	0	1,471	71M	nan	100,000+	1,055	144	92	36	147	0	Action	Teen	https://play.google.com/store/apps/details?id=com.hgamesartworks.demonhunter3
com.EpicEvangelism.HighEndMobile	Mobile AAA App	nan	0	nan	Varies with device	nan	100+	0	0	0	0	0	0	Action	Teen	https://play.google.com/store/apps/details?id=com.EpicEvangelism.HighEndMobile
com.samtex.uhdkamera	UHD Selfie Camera	4.3	0	630	3.4M	nan	500,000+	429	75	68	23	38	0	Photography	Everyone	https://play.google.com/store/apps/details?id=com.samtex.uhdkamera
com.eespeech.eespeechbasic	EESpeech AAC Basic	nan	0	nan	3.4M	$0.99 per item	100+	0	0	0	0	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=com.eespeech.eespeechbasic
com.urdubyte.peer_e_kamil	Peer e Kamil - Umera Ahmed	4.9	0	3,209	31M	nan	100,000+	2,929	177	56	14	36	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.urdubyte.peer_e_kamil
com.qrcodereader.qrcodescanner	barcod scanner	4.5	0	7,043	1.9M	nan	500,000+	5,333	1,066	274	74	354	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.qrcodereader.qrcodescanner
roman10.media.converterv2	Audio/Video Converter Android	3.8	0	15,636	Varies with device	$0.99 - $2.99 per item	1,000,000+	8,398	2,442	1,466	704	2,629	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=roman10.media.converterv2
com.scream.go.aaa	Scream Go! Aaa!	3.9	0	114	8.6M	nan	10,000+	70	8	11	3	22	0	Puzzle	Everyone	https://play.google.com/store/apps/details?id=com.scream.go.aaa
act.angelman	AngelTalk - AAC for Beginners	4.7	0	27	61M	nan	1,000+	21	4	1	1	0	0	Communication	Everyone	https://play.google.com/store/apps/details?id=act.angelman
com.jrtstudio.music	Music Player	4.0	0	249,139	3.4M	nan	50,000,000+	140,687	39,019	23,021	12,054	34,369	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.jrtstudio.music
tariq.jameel.bayaan.mulaana.video.audio.lecture	Tariq Jameel Audio/Video Bayan	4.6	0	208	11M	nan	10,000+	171	16	11	3	8	0	Education	Everyone	https://play.google.com/store/apps/details?id=tariq.jameel.bayaan.mulaana.video.audio.lecture
com.killerbeanstudios.enemystrike2	Enemy Strike 2	4.2	0	61,577	54M	$2.99 - $49.99 per item	5,000,000+	38,889	9,392	6,098	2,410	4,802	0	Action	Mature 17+	https://play.google.com/store/apps/details?id=com.killerbeanstudios.enemystrike2
seema.com.applocker	AAA Super app locker	4.7	0	13	2.3M	nan	500+	12	0	0	0	1	0	Tools	Everyone	https://play.google.com/store/apps/details?id=seema.com.applocker
com.portset.quicksymbolslite	Quick Symbols AAC Lite	3.4	0	5	3.6M	nan	500+	2	1	0	1	1	0	Productivity	Everyone	https://play.google.com/store/apps/details?id=com.portset.quicksymbolslite
com.km.photos.cutcollage	Copy Paste Photo Collage	3.8	0	16,320	4.9M	nan	1,000,000+	8,563	2,298	1,990	1,083	2,390	0	Photography	Everyone	https://play.google.com/store/apps/details?id=com.km.photos.cutcollage
com.fawadsolves.lang.khakambadhan	Khakam Badahan	nan	0	nan	27M	nan	100+	0	0	0	0	0	0	Books & Reference	Everyone 10+	https://play.google.com/store/apps/details?id=com.fawadsolves.lang.khakambadhan
com.portset.usersymbolslite	User Symbols AAC Lite	nan	0	2	3.8M	nan	500+	0	0	0	0	0	0	Productivity	Everyone	https://play.google.com/store/apps/details?id=com.portset.usersymbolslite
com.garbagetruck.city.trash.cleaningsimulator	Garbage Truck - City Trash Cleaning Simulator	3.7	0	5,067	56M	nan	1,000,000+	2,937	258	282	159	1,341	0	Auto & Vehicles	Everyone	https://play.google.com/store/apps/details?id=com.garbagetruck.city.trash.cleaningsimulator
com.aaa.bayasys.aaaprofitanalytics	AAA Profit Analytics	4.2	0	32	7.4M	nan	1,000+	22	4	0	3	3	0	Finance	Everyone	https://play.google.com/store/apps/details?id=com.aaa.bayasys.aaaprofitanalytics
coocent.media.music.ringtone.cutter	Mp3 Cutter - Ringtone Maker & Music Cutter	4.4	0	11,247	3.5M	nan	1,000,000+	7,575	2,020	652	209	798	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=coocent.media.music.ringtone.cutter
com.PakApps.Uraan	Uraan Full Urdu Novel by Umera Ahmed	2.0	0	6	4.1M	nan	500+	1	0	1	0	4	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.PakApps.Uraan
com.luckyappsolutions.audiocompressor	Audio : MP3 Compressor	2.9	0	1,008	21M	nan	100,000+	394	76	60	42	438	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=com.luckyappsolutions.audiocompressor
com.gmail.goodfreewalk.aaa	AAA	nan	0	2	24M	nan	100+	0	0	0	0	0	0	Simulation	Everyone	https://play.google.com/store/apps/details?id=com.gmail.goodfreewalk.aaa
com.google.vr.vrcore	Google VR Services	3.4	0	17,901	Varies with device	nan	100,000,000+	9,283	1,370	900	409	5,958	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.google.vr.vrcore
com.snappyappz.block	Block Calculator Free	4.2	0	59	8.7M	nan	50,000+	36	9	11	2	2	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.snappyappz.block
com.manchesterapps.picturequotesandstatus	Picture Quotes and Creator	4.6	0	5,104	20M	$0.99 - $3.49 per item	500,000+	3,612	1,012	335	55	109	0	Entertainment	Mature 17+	https://play.google.com/store/apps/details?id=com.manchesterapps.picturequotesandstatus
laoitdev.com.laoautism	Lao Autism Talks	4.2	0	11	93M	nan	500+	7	1	2	0	1	0	Communication	Everyone	https://play.google.com/store/apps/details?id=laoitdev.com.laoautism
com.Rohaandroid.Ab_Kai_Hijar_Ho_Chuke_By_Samar_Afzal	Jo Khumar Hai Tere Ishq Ka	4.7	0	157	25M	nan	10,000+	127	18	4	4	4	0	Books & Reference	Everyone	https://play.google.com/store/apps/details?id=com.Rohaandroid.Ab_Kai_Hijar_Ho_Chuke_By_Samar_Afzal
com.mobilesoft.aaatworiversbailbondsand	AAA Two Rivers Bail Bonds	2.2	0	4	16M	nan	100+	1	0	0	1	2	0	Business	Everyone	https://play.google.com/store/apps/details?id=com.mobilesoft.aaatworiversbailbondsand
